fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220412,130,9,15.2681818182,4.7224485,6.71,1949.96743266,0,0.946434813286,6.3745,0.227724628891,5.91016666779,0,0,0,75,69.3931832463,62.021018551,69.0127624819,0.918089880931,1,1,0.829452295616,0.346103896104,1.38441558442,5.42281918014,551.762671952,2.07422089748,0.00375926281881,0.952579151153,65,1.21386793595,1,1.39522564736,0
20220413,131,9,15.3487544484,7.7039235,0.2,1979.96743266,0,1.70658893989,0.19,0.410627681432,0,0,0,0,74.3527250836,74.8767026791,61.594371316,68.5861152469,0.931366381086,1,1,0.829452295616,0.349940688019,1.39976275208,8.94453582224,560.707207774,2.544741312,0.004538449438,1.10676018268,66,2.18881804103,1,1.71172142211,0
20220414,132,9,15.3115789474,6.288111,0,2000,0,1.44787723252,0,0.348378251548,0,0,0,0,73.6423775239,74.514733371,61.2324020079,68.2241459388,0.925378862805,1,1,0.829452295616,0.348170426065,1.39268170426,7.26379339763,567.971001172,3.11093704828,0.0054772814842,1.01636032129,67,1.85700242962,1,2.09257324635,0
20220415,133,9,14.7491039427,6.800949,0,2000,0,1.47490743235,0,0.354882072137,0,0,0,0,72.9187685937,74.1460065129,60.8636751498,67.8554190807,0.919279564457,1,1,0.829452295616,0.321385902031,1.28554360812,7.25183217469,575.222833346,3.80085567752,0.00660762309348,0.883161934986,68,1.89167052553,1,2.55664733184,0
20220416,134,9,16.1832142857,6.7166685,0,2000,0,1.44661511472,0,0.34807456945,0,0,0,0,72.2090402456,73.7843527342,60.5020213711,67.4937653021,0.91329726551,1,1,0.829452295616,0.389676870748,1.55870748299,8.68380271169,583.906636058,4.65216849327,0.0079673156734,0.92020316018,69,1.85538367647,1,3.12928329164,0
20220417,135,9,16.4801444043,7.236378,0,2000,0,1.6528505231,0,0.397697513556,0,0,0,0,71.3981301012,73.3711401035,60.0888087403,67.0805526713,0.906462105388,1,1,0.829452295616,0.403816400206,1.61526560083,9.69519620297,593.601832261,5.69924610937,0.00960112620889,0.920587548654,70,2.11989481447,1,3.83360053506,0
20220418,136,9,16.8740350877,6.735204,0,2000,0,1.51856386526,0,0.365386382464,0,0,0,0,70.6531027525,72.9914991372,59.709167774,66.700911705,0.900182271229,1,1,0.829452295616,0.422573099415,1.69029239766,9.44286989695,603.044702158,6.97226199282,0.0115617664294,0.88055366915,71,1.94766291229,1,4.68989525866,0
20220419,137,9,17.4845878136,6.6097215,0,2000,0,1.58148509065,0,0.380526054527,0,0,0,0,69.8772054253,72.5961278645,59.3137965014,66.3055404323,0.893642234078,1,1,0.829452295616,0.451647038744,1.80658815498,9.9045268303,612.949228988,8.52670452943,0.0139109474752,1.01583466933,72,2.02836372435,1,5.73549175085,0
20220420,138,9,19.5788732394,5.9923125,15.19,2000,0,1.4149633845,14.4305,0.340458748037,8.6135058311,0,0,0,75,72.2423870184,58.9600556552,65.9517995862,0.907180807533,1,1,0.829452295616,0.551374916164,2.20549966465,10.9620773789,623.911306367,10.4431089235,0.0167381305916,0.989624000483,73,1.81478814904,1,7.02456205413,0
20220421,139,9,17.4435714286,6.4629225,0,2000,0,1.32475578968,0,0.318753617619,0,5.52470390204,0,0,74.350057435,75,58.6288667078,65.6206106388,0.911998449272,1,1,0.829452295616,0.449693877551,1.7987755102,9.64267052204,633.553976889,12.7335817592,0.0200986533488,0.755244196901,74,1.69909068588,1,8.5652496679,0
20220422,140,9,14.2285198556,6.54245775,4,2000,0,1.33199200093,3.8,0.320494744952,2.49656468978,0,0,0,75,74.6670019998,63.8205726096,65.2876126385,0.92925062416,1,1,0.829452295616,0.2965961836,1.1863847344,6.43810254872,639.992079438,15.4237723649,0.0240999425782,0.337402795938,75,1.70837162599,1,10.3748076248,0
20220423,141,9,15.2153846154,6.621993,0,2000,0,1.33922821218,0,0.322235872285,0,1.8287596365,0,0,74.3429570747,75,63.4857655566,64.9528055855,0.925938427389,1,1,0.829452295616,0.34358974359,1.37435897436,7.54884161625,647.540921054,18.6812502976,0.0288495285629,0.71296912862,76,1.7176525661,1,12.5659516649,0
20220424,142,9,19.2809027778,6.8722425,0,2000,0,1.66224836006,0,0.399958756384,0,0,0,0,73.5274362283,74.58443791,64.8989631031,64.5372434955,0.925160269123,1,1,0.829452295616,0.537185846561,2.14874338624,12.2482612866,659.789182341,22.7408151507,0.0344667899373,0.898256152156,77,2.13194818866,1,15.2966198435,0
20220425,143,9,21.9891608392,5.7414555,0,2000,0,1.2148672482,0,0.292312993315,0,0,0,0,72.9314064229,74.2807210979,64.595246291,64.2335266834,0.920136334984,1,1,0.829452295616,0.666150516151,2.6646020646,12.6895370068,672.478719348,27.6265009192,0.0410815987545,0.904417619674,78,1.558151051,1,18.5829786385,0
20220426,144,9,20.328627451,1.3405365,0,2000,0,0.253403103665,0,0.0609721102097,0,0,0,0,72.8070835368,74.217370322,64.5318955151,64.1701759075,0.919088417605,1,1,0.829452295616,0.587077497666,2.34830999066,2.61111189151,675.089831239,32.965712163,0.0488315934228,0.310095566095,79,0.325006960956,1,22.1744015544,0
20220427,145,9,17.4079861111,6.212214,0.61,2000,0,1.33984172085,0.5795,0.322383490517,0,0,0,0,72.729239616,73.8824098918,64.1969350849,63.8352154773,0.915479333567,1,1,0.829452295616,0.447999338624,1.7919973545,9.23368778081,684.32351902,39.5933650445,0.0578576710344,1.16053676458,80,1.71843943329,1,26.6324953348,0
20220428,146,9,13.8125874126,6.0942375,0,2000,0,1.12478089519,0,0.270637035267,0,0,0,0,72.177407357,73.601214668,63.9157398611,63.5540202535,0.910827940465,1,1,0.829452295616,0.27678987679,1.10715950716,5.59655765727,689.920076677,47.1196919085,0.0682973195032,0.879189104735,81,1.44260908884,1,31.6950825857,0
20220429,147,9,11.7332167832,4.77576,0,2000,0,0.878994613863,0,0.211497632409,0,0,0,0,71.7461610711,73.3814660145,63.6959912076,63.3342716,0.907192966311,1,1,0.829452295616,0.177772227772,0.711088911089,2.81681168316,692.73688836,55.6098257234,0.0802755370153,0.910967897002,82,1.12737122796,1,37.4059750285,0
20220430,148,9,13.8646853147,5.597829,0,2000,0,0.924714198921,0,0.222498364202,0,0,0,0,71.2924841572,73.1502874648,63.4648126579,63.1030930503,0.903368924434,1,1,0.829452295616,0.279270729271,1.11708291708,5.18676356689,697.923651927,65.5303910883,0.0938933519553,0.85123404838,83,1.18600974967,1,44.0790479159,0
20220501,149,9,17.9811320755,5.0955615,0,2000,0,1.02674461595,0,0.247048220703,0,0,0,0,70.7887497825,72.8936013108,63.2081265039,62.8464068963,0.899122948312,1,1,0.829452295616,0.475292003594,1.90116801438,8.03533449107,705.958986418,77.1008780492,0.109214387142,1.11314910103,84,1.31687079788,1,51.8619413289,0
20220502,150,9,12.3180555556,3.815775,0,2000,0,0.644411353521,0,0.155053823331,0,0,0,0,70.4725931208,72.7324984724,63.0470236655,62.6853040579,0.896458064389,1,1,0.829452295616,0.205621693122,0.822486772487,2.60317337652,708.562159795,89.4563241685,0.126250496067,0.662610808765,85,0.826502014317,1,60.1728378835,0
