0,30.3,25.5,21.1,22.4,19.0,14.7,0.0
1,31.6,24.7,18.9,22.9,19.7,14.7,0.0
2,33.2,28.3,22.7,24.4,19.9,14.8,0.0
3,34.4,26.6,19.0,25.5,19.3,14.7,0.0
4,34.7,27.1,18.9,25.8,20.4,14.7,0.0
5,30.0,23.2,17.6,21.4,16.6,9.2,0.0
6,32.0,23.6,13.4,23.3,16.5,10.6,0.0
7,35.4,27.4,16.9,26.4,20.5,14.4,0.0
8,31.1,26.0,21.5,22.4,18.5,14.7,0.0
9,24.2,23.1,22.0,21.4,17.8,14.7,03.05
10,33.8,30.1,25.8,24.9,21.5,17.4,03.05
11,31.7,27.2,23.8,23.0,18.8,15.6,03.05
12,36.0,28.9,23.6,27.0,20.4,15.4,03.05
13,36.3,30.2,24.4,27.3,21.6,16.1,03.05
14,31.1,25.2,19.6,22.4,17.6,13.4,5.84
15,30.2,22.7,15.0,21.6,15.7,10.8,5.84
16,30.6,24.0,17.3,21.9,16.8,12.5,5.84
17,33.3,27.2,18.9,24.4,19.4,14.0,0.0
18,36.2,29.7,23.3,27.2,21.1,15.1,0.0
19,32.6,27.8,23.1,23.8,19.3,14.9,45.72
20,32.5,26.2,22.7,23.7,17.9,14.7,63.5
21,34.7,26.6,20.4,25.8,20.8,14.7,17.78
22,35.3,27.6,21.2,26.3,20.7,14.7,0.0
23,34.4,27.1,19.7,25.5,20.3,14.7,0.0
24,38.0,29.2,20.4,28.9,22.4,14.7,0.0
25,35.0,27.4,21.5,26.1,20.0,14.7,0.0
26,33.4,25.2,20.5,24.6,17.4,13.8,0.0
27,33.6,25.5,16.4,24.8,18.9,14.7,0.0
28,25.5,22.4,19.2,21.6,18.2,14.7,2.79
29,29.6,22.5,17.7,21.0,17.6,10.9,2.79
30,31.0,23.1,13.4,22.3,16.2,10.6,0.0
31,33.9,26.2,17.5,25.1,19.4,14.7,0.0
32,36.3,27.6,18.6,27.3,21.1,14.7,0.0
33,36.0,28.4,19.0,27.0,21.3,14.7,0.0
34,38.0,29.7,21.9,28.9,21.9,14.7,0.0
35,28.4,23.2,18.7,22.6,18.8,14.7,93.98
36,29.6,23.8,20.2,22.7,19.5,14.7,95.0
37,28.3,24.1,22.2,22.7,17.9,14.7,97.79
38,22.7,22.2,21.4,22.6,22.0,21.2,0.0
39,25.0,21.9,18.5,20.9,18.1,14.6,03.05
40,29.6,22.1,15.9,21.0,17.3,14.7,03.05
41,32.9,23.5,16.6,24.1,18.0,14.6,0.0
42,32.5,25.0,18.3,23.7,18.7,14.8,0.0
43,31.5,25.8,19.1,22.8,18.9,14.7,0.0
44,33.8,26.4,22.4,24.9,18.7,14.7,0.0
45,37.5,28.2,20.6,28.4,21.8,14.7,0.0
46,36.1,29.1,24.1,27.1,20.6,15.8,0.0
47,30.5,23.3,20.8,22.7,18.7,14.7,54.86
48,32.5,22.8,15.8,23.7,17.8,12.9,54.86
49,31.6,22.6,15.5,22.9,17.3,13.3,0.0
50,29.2,21.7,17.5,20.7,16.3,10.3,0.0
51,28.7,20.8,16.0,20.2,13.1,9.1,0.0
52,29.3,20.7,9.9,20.7,14.4,8.5,0.0
53,27.9,24.7,19.3,19.4,16.9,14.7,0.0
54,31.4,23.0,14.6,22.7,17.5,13.5,0.0
55,31.5,24.1,18.3,22.8,18.5,14.8,14.22
56,33.6,22.8,14.1,24.8,17.4,12.2,14.22
57,32.9,23.1,13.9,24.1,17.2,12.4,0.0
58,35.4,25.4,15.8,26.4,19.0,14.3,0.0
59,35.5,25.9,16.9,26.6,19.7,14.7,0.0
60,34.1,25.8,16.8,25.2,19.6,14.7,0.0
61,24.5,20.7,17.3,18.1,16.1,14.8,0.0
62,34.6,26.3,17.1,25.7,18.9,14.5,0.0
63,36.6,27.1,18.8,27.6,20.0,14.7,0.0
64,35.3,27.2,19.1,26.3,19.8,14.7,0.0
65,32.8,25.6,18.7,24.0,19.0,14.6,0.0
66,34.7,26.7,17.9,25.8,20.0,14.7,0.0
67,36.9,27.5,18.6,27.8,20.9,14.7,0.0
68,38.6,28.7,20.6,29.4,21.4,14.6,0.0
69,33.2,25.9,19.7,24.4,19.6,14.7,2.54
70,38.4,27.7,20.3,29.2,20.5,14.8,5.84
71,28.7,22.3,18.3,22.7,18.6,14.6,23.11
72,27.2,22.9,19.5,18.8,16.7,14.1,0.0
73,19.5,16.6,13.9,17.3,15.8,13.7,27.18
74,30.2,22.7,17.4,21.6,17.9,14.7,27.18
