,FECHA,TMAXH(C),TMEDH(C),TMINH(C),HRMAXH(C),HRMEDH(C),HRMINH(C),LLUVIAH(MM),TMINF(C),TMEDF(C),TMAXF(C),RADF(W/M2),LLUVIAF(MM),T-TD(C),RADF(MJ/M2)
69,2020/03/10,33.2,25.9,19.7,96 ,70 ,60 ,2.54,,,,,,,
70,2020/03/11,38.4,27.7,20.3,98 ,66 ,60 ,5.84,,,,,,,
71,2020/03/12,28.7,22.3,18.3,99 ,82 ,60 ,23.11,,,,,,,
72,2020/03/14,27.2,22.9,19.5,81 ,69 ,60 ,0.0,,,,,,,
73,2020/03/15,19.5,16.6,13.9,99 ,95 ,81 ,27.18,,,,,,,
74,2020/03/16,30.2,22.7,17.4,99 ,77 ,60 ,27.18,,,,,,,
75,2020/03/17,23.3,20.9,17.6,99 ,96 ,60 ,24.64,,,,,,,
76,2020/03/18,17.8,16.8,16.1,99 ,97 ,53 ,24.64,,,,,,,
77,2020/03/19,32.8,26.8,17.3,99 ,64 ,39 ,24.64,,,,,,,
78,2020/03/20,31.1,21.5,12.4,99 ,72 ,31 ,0.0,,,,,,,
79,2020/03/21,30.3,22.4,14.4,99 ,73 ,44 ,0.0,,,,,,,
80,2020/03/22,31.6,23.4,15.1,99 ,73 ,40 ,0.0,,,,,,,
81,2020/03/23,33.2,26.7,19.0,95 ,65 ,42 ,0.0,,,,,,,
82,2020/03/24,34.5,26.6,18.9,89 ,68 ,47 ,0.0,,,,,,,
83,2020/03/25,26.5,21.9,18.3,99 ,86 ,60 ,5.59,,,,,,,
84,2020/03/26,26.3,20.7,18.3,99 ,91 ,60 ,6.86,,,,,,,
85,2020/03/27,23.7,20.9,17.3,99 ,92 ,60 ,7.11,,,,,,,
86,2020/03/28,28.4,21.2,16.9,99 ,86 ,60 ,7.11,,,,,,,
87,2020/03/29,32.9,23.7,18.5,99 ,82 ,50 ,0.0,,,,,,,
88,2020/03/30,35.1,24.2,17.0,99 ,77 ,47 ,0.25,,,,,,,
89,2020/03/31,31.3,24.8,20.9,99 ,76 ,60 ,0.25,,,,,,,
90,2020/04/01,28.6,23.4,19.1,99 ,84 ,60 ,1.02,,,,,,,
91,2020/04/02,26.7,19.8,14.3,98 ,75 ,37 ,1.02,,,,,,,
92,2020/04/03,27.7,17.6,0.0,91 ,70 ,0 ,1.02,,,,,,,
93,2020/04/04,28.0,19.0,10.8,99 ,76 ,46 ,1.02,,,,,,,
94,2020/04/05,30.1,20.9,14.3,99 ,79 ,46 ,1.02,,,,,,,
95,2020/04/06,24.4,18.7,14.3,98 ,66 ,28 ,1.02,,,,,,,
96,2020/04/07,25.2,20.2,0.0,72 ,49 ,0 ,1.02,,,,,,,
97,2020/04/08,,,,86 ,58 ,32 ,,,,,,,,
98,2020/04/09,26.8,19.9,9.8,88 ,65 ,37 ,0.0,,,,,,,
99,2020/04/10,21.8,12.6,9.4,90 ,83 ,62 ,0.0,,,,,,,
100,2020/04/11,26.2,21.8,0.0,99 ,61 ,0 ,0.0,,,,,,,
101,2020/04/12,27.4,19.8,11.1,99 ,70 ,43 ,0.0,,,,,,,
102,2020/04/13,23.9,17.5,12.9,99 ,80 ,52 ,14.48,,,,,,,
103,2020/04/14,27.4,16.6,0.0,97 ,74 ,0 ,14.48,,,,,,,
104,2020/04/15,28.1,17.5,8.6,92 ,69 ,32 ,0.0,,,,,,,
105,2020/04/16,26.7,17.8,10.2,91 ,72 ,43 ,0.0,,,,,,,
106,2020/04/17,27.7,18.8,11.2,99 ,69 ,46 ,0.0,,,,,,,
107,2020/04/18,27.5,18.7,0.0,99 ,72 ,0 ,0.0,,,,,,,
108,2020/04/19,30.2,20.4,11.6,99 ,75 ,41 ,0.0,,,,,,,
109,2020/04/20,25.5,16.8,13.9,99 ,90 ,60 ,0.0,,,,,,,
110,2020/04/21,30.5,20.2,14.1,95 ,77 ,45 ,0.0,,,,,,,
111,2020/04/22,28.3,21.2,15.6,99 ,78 ,59 ,0.0,,,,,,,
112,2020/04/23,30.0,23.4,17.8,89 ,70 ,47 ,0.0,,,,,,,
113,2020/04/24,35.6,26.1,18.0,92 ,68 ,39 ,0.0,,,,,,,
114,2020/04/25,26.0,20.3,18.0,98 ,87 ,60 ,0.0,,,,,,,
115,2020/04/26,20.1,18.2,16.6,99 ,99 ,97 ,17.02,,,,,,,
116,2020/04/27,20.7,19.6,18.5,99 ,99 ,99 ,21.34,,,,,,,
117,2020/04/28,24.4,19.3,12.2,99 ,86 ,53 ,5.59,,,,,,,
118,2020/04/29,28.9,16.5,8.3,88 ,68 ,22 ,0.0,,,,,,,
119,2020/04/30,25.8,18.9,14.8,87 ,70 ,38 ,0.0,,,,,,,
120,2020/05/01,30.3,19.5,11.3,89 ,74 ,34 ,0.0,,,,,,,
121,2020/05/02,25.0,21.8,18.1,69 ,61 ,47 ,0.0,,,,,,,
122,2020/05/03,21.2,16.8,16.1,79 ,75 ,62 ,0.0,,,,,,,
123,2020/05/04,25.6,18.7,13.8,97 ,79 ,59 ,0.0,,,,,,,
124,2020/05/05,19.9,14.0,0.0,99 ,76 ,0 ,1.52,,,,,,,
125,2020/05/06,22.7,11.2,3.8,89 ,68 ,31 ,1.52,,,,,,,
126,2020/05/07,20.7,11.5,3.5,99 ,75 ,43 ,1.52,,,,,,,
127,2020/05/08,21.0,10.1,6.1,99 ,85 ,47 ,0.0,,,,,,,
128,2020/05/09,27.3,20.4,12.4,77 ,59 ,37 ,0.0,,,,,,,
129,2020/05/10,32.1,19.6,0.0,86 ,67 ,0 ,0.0,,,,,,,
130,2020/05/11,23.7,16.8,11.0,80 ,51 ,25 ,0.0,,,,,,,
131,2020/05/12,23.3,14.5,8.1,80 ,55 ,27 ,0.0,,,,,,,
132,2020/05/13,18.9,10.7,6.4,82 ,66 ,33 ,0.0,,,,,,,
133,2020/05/14,21.3,11.7,3.2,99 ,67 ,37 ,0.0,,,,,,,
134,2020/05/15,30.4,15.7,6.8,91 ,72 ,41 ,0.0,,,,,,,
135,2020/05/16,32.4,22.6,11.1,90 ,66 ,45 ,0.0,,,,,,,
136,2020/05/17,32.2,19.2,10.8,94 ,73 ,48 ,0.0,,,,,,,
137,2020/05/18,28.7,18.9,11.1,94 ,69 ,44 ,0.0,,,,,,,
138,2020/05/19,17.4,13.0,12.1,99 ,69 ,60 ,0.0,,,,,,,
139,2020/05/20,25.5,19.7,14.0,88 ,71 ,60 ,0.0,,,,,,,
140,2020/05/21,14.9,13.4,12.0,84 ,76 ,65 ,0.51,,,,,,,
141,2020/05/22,14.7,11.2,5.7,81 ,63 ,41 ,2.03,,,,,,,
142,2020/05/23,20.7,8.9,1.3,90 ,59 ,24 ,2.03,,,,,,,
143,2020/05/24,25.0,11.6,2.3,99 ,68 ,28 ,0.0,,,,,,,
144,2020/05/25,23.2,14.8,7.4,87 ,50 ,27 ,0.0,,,,,,,
145,2020/05/26,14.3,8.6,0.0,86 ,71 ,0 ,0.0,,,,,,,
146,2020/05/27,25.9,15.5,7.1,92 ,69 ,38 ,0.0,,,,,,,
147,2020/05/28,27.1,16.5,9.4,95 ,72 ,45 ,0.0,,,,,,,
148,2020/05/29,27.1,16.0,7.3,92 ,75 ,51 ,0.0,,,,,,,
149,2020/05/30,12.3,10.8,9.0,91 ,75 ,57 ,0.0,,,,,,,
150,2020/05/31,17.8,10.5,4.3,81 ,61 ,32 ,0.0,,,,,,,
151,2020/06/01,19.9,8.7,0.8,84 ,57 ,32 ,0.0,,,,,,,
152,2020/06/02,19.0,9.3,1.3,86 ,59 ,29 ,0.0,,,,,,,
153,2020/06/03,16.5,10.6,3.4,99 ,76 ,54 ,0.0,,,,,,,
154,2020/06/04,20.3,12.0,5.9,93 ,72 ,50 ,0.0,,,,,,,
155,2020/06/05,18.0,11.3,7.9,90 ,74 ,51 ,0.0,,,,,,,
156,2020/06/06,24.0,11.0,3.1,99 ,75 ,38 ,0.0,,,,,,,
157,2020/06/07,22.0,11.5,3.9,99 ,81 ,41 ,0.0,,,,,,,
158,2020/06/08,23.4,13.4,6.2,99 ,85 ,55 ,0.0,,,,,,,
159,2020/06/09,25.0,14.5,6.6,99 ,81 ,49 ,0.0,,,,,,,
160,2020/06/10,25.3,15.2,9.7,99 ,81 ,53 ,0.0,,,,,,,
161,2020/06/11,22.9,14.3,6.9,99 ,82 ,51 ,0.0,,,,,,,
162,2020/06/12,23.0,15.1,8.3,99 ,67 ,24 ,0.0,,,,,,,
163,2020/06/13,17.1,10.3,0.0,76 ,47 ,0 ,0.0,,,,,,,
164,2020/06/14,15.7,12.7,8.9,62 ,46 ,36 ,0.0,,,,,,,
165,2020/06/15,18.5,11.5,0.0,84 ,65 ,0 ,0.0,,,,,,,
166,2020/06/16,25.9,16.2,6.3,98 ,84 ,60 ,0.0,,,,,,,
167,2020/06/17,29.1,21.1,13.7,88 ,76 ,60 ,0.0,,,,,,,
168,2020/06/18,25.5,15.3,9.6,79 ,59 ,35 ,0.0,,,,,,,
169,2020/06/19,25.5,13.9,6.7,99 ,77 ,44 ,0.0,,,,,,,
170,2020/06/20,15.6,10.1,6.0,99 ,96 ,89 ,0.0,,,,,,,
171,2020/06/21,19.9,12.9,7.0,99 ,71 ,34 ,0.0,,,,,,,
172,2020/06/22,19.9,10.9,2.8,99 ,73 ,56 ,0.0,,,,,,,
173,2020/06/23,15.0,13.0,11.4,98 ,94 ,88 ,0.0,,,,,,,
174,2020/06/24,14.1,10.2,5.6,99 ,89 ,73 ,0.51,,,,,,,
175,2020/06/25,19.0,9.0,3.6,91 ,68 ,32 ,0.51,,,,,,,
176,2020/06/26,15.4,6.7,0.6,85 ,62 ,36 ,0.0,,,,,,,
177,2020/06/27,18.0,7.4,1.4,87 ,63 ,40 ,0.0,,,,,,,
178,2020/06/28,17.7,8.8,1.7,88 ,64 ,38 ,0.0,,,,,,,
179,2020/06/29,19.4,10.3,2.6,99 ,82 ,60 ,0.0,,,,,,,
180,2020/06/30,16.3,10.9,7.8,99 ,77 ,46 ,1.78,,,,,,,
181,2020/07/01,12.2,9.0,5.6,96 ,81 ,67 ,0.0,,,,,,,
182,2020/07/02,18.2,9.3,4.2,94 ,77 ,47 ,0.0,,,,,,,
183,2020/07/03,19.5,9.7,2.1,99 ,69 ,47 ,0.51,,,,,,,
184,2020/07/04,18.4,10.4,3.9,90 ,75 ,52 ,0.51,,,,,,,
185,2020/07/05,17.6,8.9,4.4,83 ,67 ,37 ,0.51,,,,,,,
186,2020/07/06,13.7,7.8,0.9,85 ,60 ,43 ,0.51,,,,,,,
187,2020/07/07,10.0,7.3,3.8,91 ,77 ,67 ,0.51,,,,,,,
188,2020/07/08,15.9,5.4,2.1,94 ,66 ,0 ,0.51,,,,,,,
189,2020/07/09,17.0,7.3,2.0,99 ,66 ,46 ,0.51,,,,,,,
190,2020/07/10,19.5,11.3,0.0,91 ,74 ,0 ,0.51,,,,,,,
191,2020/07/11,20.0,9.8,1.9,85 ,54 ,17 ,0.51,,,,,,,
